SMID,SMX,SMY,SMLIBTILEID,SMUSERID,SMGEOMETRYSIZE,RoadName,RoadID,,,,,,
26,117.2568497,31.85901255,1,0,16,梅山路-安农大,1,,,,,,
27,117.2569144,31.85903607,1,0,16,梅山路-安农大,1,,,,,,
28,117.256977,31.8590596,1,0,16,梅山路-安农大,1,,,,,,
29,117.2570448,31.85908508,1,0,16,梅山路-安农大,1,,,,,,
30,117.2571095,31.8591086,1,0,16,梅山路-安农大,1,,,,,,
31,117.2571712,31.85913798,1,0,16,梅山路-安农大,1,,,,,,
32,117.2572359,31.85916348,1,0,16,梅山路-安农大,1,,,,,,
33,117.257307,31.85917897,1,0,16,梅山路-安农大,1,,,,,,
34,117.257376,31.8591968,1,0,16,梅山路-安农大,1,,,,,,
35,117.2574427,31.85922326,1,0,16,梅山路-安农大,1,,,,,,
36,117.2575024,31.85924384,1,0,16,梅山路-安农大,1,,,,,,
37,117.2575593,31.85926736,1,0,16,梅山路-安农大,1,,,,,,
38,117.2576191,31.85928794,1,0,16,梅山路-安农大,1,,,,,,
39,117.2576838,31.859316,1,0,16,梅山路-安农大,1,,,,,,
40,117.2577514,31.85933988,1,0,16,梅山路-安农大,1,,,,,,
41,117.2578141,31.859361,1,0,16,梅山路-安农大,1,,,,,,
42,117.2578739,31.85939196,1,0,16,梅山路-安农大,1,,,,,,
43,117.2579386,31.85940699,1,0,16,梅山路-安农大,1,,,,,,
44,117.258013,31.85943593,1,0,16,梅山路-安农大,1,,,,,,
45,117.2580807,31.85946141,1,0,16,梅山路-安农大,1,,,,,,
46,117.2581483,31.85948493,1,0,16,安农大,1,,,,,,
48,117.2632149,31.861286,1,0,16,环城西路,2,,,,,,
49,117.2632933,31.86131699,1,0,16,环城西路-三孝口西站,2,,,,,,
50,117.2633876,31.86134272,1,0,16,环城西路-三孝口西站,2,,,,,,
51,117.2634758,31.86136361,1,0,16,环城西路-三孝口西站,2,,,,,,
52,117.2635456,31.86139417,1,0,16,环城西路-三孝口西站,2,,,,,,
53,117.2636302,31.86142724,1,0,16,环城西路-三孝口西站,2,,,,,,
54,117.2637012,31.86145542,1,0,16,环城西路-三孝口西站,2,,,,,,
55,117.2637817,31.86148935,1,0,16,环城西路-三孝口西站,2,,,,,,
56,117.2638605,31.86151422,1,0,16,环城西路-三孝口西站,2,,,,,,
57,117.2639413,31.86153603,1,0,16,环城西路-三孝口西站,2,,,,,,
58,117.2640164,31.86156256,1,0,16,环城西路-三孝口西站,2,,,,,,
59,117.2640932,31.86159262,1,0,16,环城西路-三孝口西站,2,,,,,,
60,117.2641778,31.8616208,1,0,16,环城西路-三孝口西站,2,,,,,,
61,117.2642623,31.86164775,1,0,16,环城西路-三孝口西站,2,,,,,,
62,117.2643333,31.86167598,1,0,16,环城西路-三孝口西站,2,,,,,,
63,117.2644117,31.86169803,1,0,16,环城西路-三孝口西站,2,,,,,,
64,117.2644926,31.8617286,1,0,16,环城西路-三孝口西站,2,,,,,,
65,117.2645698,31.86175433,1,0,16,环城西路-三孝口西站,2,,,,,,
66,117.2646482,31.861789,1,0,16,环城西路-三孝口西站,2,,,,,,
67,117.264729,31.86181313,1,0,16,环城西路-三孝口西站,2,,,,,,
68,117.2648054,31.86184377,1,0,16,环城西路-三孝口西站,2,,,,,,
69,117.2648846,31.86187902,1,0,16,环城西路-三孝口西站,2,,,,,,
70,117.2649655,31.86190899,1,0,16,环城西路-三孝口西站,2,,,,,,
