SMID,SMX,SMY,SMLIBTILEID,SMUSERID,SMGEOMETRYSIZE,RoadName
211,117.2951297,31.86410223,1,0,16,环城南路-滁州路
212,117.295261,31.864067,1,0,16,环城南路-滁州路
213,117.2953993,31.864047,1,0,16,环城南路-滁州路
214,117.2955283,31.86400414,1,0,16,环城南路-滁州路
215,117.2956676,31.86397774,1,0,16,环城南路-滁州路
216,117.2957909,31.86395436,1,0,16,环城南路-滁州路
217,117.2959327,31.86391871,1,0,16,环城南路-滁州路
218,117.2960639,31.863882,1,0,16,环城南路-滁州路
219,117.2961929,31.86385292,1,0,16,环城南路-滁州路
220,117.2963254,31.86382154,1,0,16,环城南路-滁州路
221,117.2964672,31.86377855,1,0,16,环城南路-滁州路
222,117.2966191,31.86374179,1,0,16,环城南路-滁州路
223,117.2967707,31.86371721,1,0,16,环城南路-滁州路
224,117.296919,31.86369316,1,0,16,环城南路-滁州路
225,117.2970658,31.86365848,1,0,16,环城南路-滁州路
226,117.2971981,31.863637,1,0,16,环城南路-滁州路
227,117.2973372,31.86362167,1,0,16,环城南路-滁州路
228,117.2974878,31.8636159,1,0,16,环城南路-滁州路
229,117.2976476,31.86361805,1,0,16,环城南路-滁州路
230,117.2977946,31.86364098,1,0,16,环城南路-滁州路
231,117.2979395,31.863637,1,0,16,环城南路-滁州路
232,117.298095,31.86365848,1,0,16,环城南路-滁州路
233,117.2982284,31.863674,1,0,16,环城南路-滁州路
234,117.298364,31.863709,1,0,16,环城南路-滁州路
235,117.298502,31.86373581,1,0,16,环城南路-滁州路
236,117.2986403,31.863756,1,0,16,环城南路-滁州路
237,117.2987726,31.863793,1,0,16,环城南路-滁州路
238,117.2989039,31.86380778,1,0,16,环城南路-滁州路
239,117.2990562,31.8638244,1,0,16,滁州路
240,117.2991759,31.86385175,1,0,16,滁州路-东方商城站
241,117.2993083,31.86388197,1,0,16,滁州路-东方商城站
242,117.2994489,31.86390985,1,0,16,滁州路-东方商城站
243,117.2995942,31.86394355,1,0,16,滁州路-东方商城站
244,117.2997569,31.86397144,1,0,16,滁州路-东方商城站
245,117.2999161,31.86400863,1,0,16,滁州路-东方商城站
246,117.3000636,31.86404581,1,0,16,滁州路-东方商城站
247,117.300224,31.86407021,1,0,16,滁州路-东方商城站
248,117.3003809,31.86410043,1,0,16,滁州路-东方商城站
249,117.3005226,31.86413413,1,0,16,滁州路-东方商城站
250,117.3006667,31.8641655,1,0,16,滁州路-东方商城站
251,117.300805,31.86418642,1,0,16,滁州路-东方商城站
252,117.3009247,31.86421082,1,0,16,滁州路-东方商城站
253,117.3010758,31.86424568,1,0,16,滁州路-东方商城站
254,117.3012232,31.86428234,1,0,16,滁州路-东方商城站
255,117.3013491,31.86430479,1,0,16,滁州路-东方商城站
256,117.3015009,31.86433188,1,0,16,滁州路-东方商城站
257,117.3016405,31.86436302,1,0,16,东方商城
